index,Tweets
678,oh thinking visible pressure waves
679,saw tos hits like time lyman iirc
681,i'd money rigged building saw rd daysago km weapon bakhmut waste
682,change needed war monitors
683,probably university st andrews
689,that's true it's morning white population big difference
690,i'm going send self defend moon it's threatened empire
692,people killed gun violence white reflects entire populations i'd lot white gangs ripping apart urban communities
695,i'd worried straight white people stand mass shootings
696,topic mass shootings offenders white means argument invalid live
699,ok kind expected imagine
706,tanks like qrf responding ru taking trench ua trying aid potential ua soldiers area trying responding ru moving trench
707,lot people commenting ua infantry perfect caa operation
708,it's clear russians took position ua manned trench
709,russians captured later night video follow
711,it's white flag it's junk stuck tree seen ish
713,it's visible shot sec
715,sweden country turkey label pkk terrorist organization gently self
719,armored ua assault ru positions verkhn'okam'yans'ke area close ua tank point blank tank gt trench combat
725,loyalty rewarded incompetence forgotten
729,started vs it's going
730,finland nato greatly improves security nato sea sorry baltic sea
735,looking found instead i'm pretty happy placement arrows it's jaw dropping little ruaf advanced months
736,gonna blend orange jumpsuits
737,gonna blend right orange jumpsuits
741,i'm offended need cry
742,opinion matter credentials expert public perception
744,iirc reports beavers helping ukraine making border belarus swamp
746,iraq figured ts seehit range fired money abrams
749,worth time print wipe ass
750,guys hear spread ukraine
752,samtidigt s r det inte ett bidrag du fr bara tillbaks en del av skatten du betalat
753,moment follow like people susbstack btw
754,ukraine needs continued support able kick russians like support drone fundraisers constantine know difference want difference help donating orand retweeting fundraisers
756,interactive map use suck phone don't know tried
757,oh it's accidentally press tumb buttons mouse
760,varying results embedding let know works
765,i'm time stand mirror homo
766,based tiktok videos coming i'd
767,cant fit screen anymore
768,usually equipment vehicles motorized d
770,volunteer battalion algas commander talk traitors refused fight heard rumors weeks ago confirm
772,th operational regiment th separate operational brigade
774,st special motorized regiment north
776,absolutely insane haul akhmat found pants diplomas boots
778,damn muhammad sims need plant
779,got fam image pope
780,roros train bridge damaged crimea mariupol
781,expect write twitter post i'm posting
784,it's militarized fortified island surrounded russian navy need going
785,things like don't post day room room maps
787,find military liberation crimea highly unlikely let's hope i'm wrong
788,kurwa gruby like polish words know look beaver
793,tbh depends going use
798,emblem german bundeswehr nazi symbols outlawed germany clearly cant nazi symbol
799,cant telling people i'm chemical warfare thing i'm going pretend dan
801,dashcam recent date yellow arm bands pointed cant claim it's months ago
802,probably better job explaining
803,im discussing welcome discussion ukraine longer respond
804,yeah cant rude pass bottle wake day expect nice
806,haven't actually started rude
809,actually haven't it's way street like ok use anonymous account months ago i'm going ask kofman got live head rent free year suggest bottle
810,you've material question following war closely rely verified anonymous sources way kind idea actually going yes proven reliable past
813,know people throwing credentials peoples faces it's chuck pfarrer credentials credibility asked held opinion wanted point view
815,break hunting russians enjoyable
818,it's acted like dick engage conversation people disagree stop subtweeting engage conversation advice sure opinion matters better check credentials
821,i'm twitter relationship advice
822,february battalion completed combined arms training
823,april year canadian soldiers worked ukrainian counterparts alive constitute ua army today
825,said mil months ago included rounds ts etc think remaining mil rounds relevant systems
826,i'm gonna frame hang wall bffs forever
827,war games want it's politicians making calls
829,ukraine trained nato doctrine sure majority poorly trained mobilized personnel
832,recall time committed battalion svitlodars'k summer grown regiment later brigade
833,takes time instinctive saw train months polish tanks started showing battle field gonna lot new battalions takes time functional
834,offensive units training expanding late summer don't think brigaded seen combat plenty examples
837,know operate need integrate units months ready
839,leaders bad calls time it's right think don't know right thing know years possibly opinions differed
840,i'm asking analysis situation i'm don't understand
841,tell think strategy bakhmut success i'm saying isn't i'm interested analysis attrition ratios munition expenditure use offensive units defend etc
842,ok problem don't understand
843,claim bakhmut feint suggested russians fail it's soon determine defense bakhmut success probably years
844,previous statement true don't know decision hold bakhmut afu it's likely political decisions
845,think saw laying trenches december hit think trained play dead
846,it's frontlines dig partially capturing ru positions windbreak ru taken positions away windbreak dont know exact timeline it's impossible tell
847,true lost ground kupyansk kreminna avdiivka
850,think point wagner wasted thousands prisoners
853,afu repulsed attacks area maryinka novomykhailivka according crybar afu reinforced pobjeda
854,weekly progress avdiivka area kamyanka likely lost visual evidence heavy fighting stepove sjeverne direction
855,it's likely ruaf continue reinforce success avdiivka good excuse taking bakhmut remember words
857,according rumint ua lost sam capabilities avdiivka area allowed russians use attack aircraft medium high altitude area range manpads explain ruaf success
859,afu repulsed attacks area novokalynove keramik avdiivka tonenke severne vodyane pervomaiske continued heavy fighting avdiivka
860,geolocated points bakhmut assess situation available map links original post
861,weekly progress bakhmut area
862,hopefully ua long term plan bakhmut math subject it's possible kursk scenario plan upcoming offensive math tell it's worth
863,it's pretty simple shot directions enemy shooting gloc good position true ru advance stopped i've saying time leave bakhmut
864,believe ua position bakhmut favorable attrition ratio nearly favorable december i'm hearing numbers lower circulate western media believe ratio turned slightly ua favor weeks
865,likely scenarios bakhmut point
866,ru offensive comes halt attrition bakhmut new marinka
867,ruaf rotate forces manage push forcing afu withdraw
869,afu repulsed attacks area bakhmut bohdanivka ivanivske predtechyne slight ru gains noted n s bakhmut city
871,afu repulsed attacks area sinkivka kreminnaya bilogorivka vyimka vesele
877,visit interactive map details explanations legend available
879,ukraine update march th
880,week little progress areas
881,helpful like retweet tweet
884,heart failure actual combat
888,ukrainian armor arrives hunt russians
889,don't think russian control bad geolocation mistake
890,translated soldiers post analysis
892,oh it's cold thought pregnant second
893,came conclusion highly scientific method russians claiming divide closer truth
897,examples bad analysis explain bad
900,it's time people exposed lot grifters war tourists
902,source pro russian it's interesting heavy lifting ruaf wagner
904,extent ukrainian troops lot experience it's easy think especially coordinating fires
905,extremt blir nog ingen efterfest
906,det blev ett litet oj jvlar dr vid
908,mandatory marinka attacks reported pobjeda novomykhailivka success tag team donkey
909,update ru mod claims
911,ruish alexander khodakovsky talk increasing ua artillery drone attacks
912,describes interpreted robot wars ua attacking swarms drones distract antidrone drones
915,ru forces attacks increased lately hours attacked area keramik novokalynove novobakhmutivka stepove avdiivka severna pervomaiske marinka novomykhailivk pobieda
916,ukrainian soldiers telegram talk russians advancing khromove area night supposedly got asses handed ru forces pull day
919,afu repulsed attacks bakhmut north south orihovovasylivka bohdanivka ivanivske predtechine stupochky
920,tweet click link link don't know help
923,ruaf attacked area hryanikyvka serebryansk forestry bilohorivka
925,click link scroll details incoming rain
932,map brought popov brothers
938,brutal video k verkhn'okam'yans'ke area shows danger close artillery point blank impacts intense fighting
939,public debate way change things know lot analysts refrain brining issues ukraine tone know slammed publicly called russian trolls attacked mass reports etc dont want
940,fired iirc general fired recently job commander jfo days later syrsky shows bakhmut saying related
941,it's political decision non military personnel commanders agreeing decision line support publicly i'm saying case i'm saying case read years
943,wont know ukrainian commanders write memoirs
944,important reason use words like think believe clear
